Top-K   Acc      MCC     F1      Preci   TPR     TNR     FPR
1       46.000  15.017  989.989 5.234   100.000 44.324  55.676
2       46.000  18.999  1554.252        8.448   100.000 43.152  56.848
3       46.000  23.086  2285.714        12.903  100.000 41.304  58.696
4       46.000  26.339  3058.668        18.107  100.000 38.605  61.395
5       46.000  24.329  3567.782        22.059  94.444  36.897  63.103
6       46.000  25.197  3860.465        24.286  95.000  35.357  64.643
7       46.000  20.278  4127.660        27.206  88.462  34.641  65.359
8       46.000  20.754  4489.796        30.188  89.286  32.051  67.949
9       46.000  20.260  4898.396        33.806  91.176  28.110  71.890
10      44.000  12.696  4908.971        34.671  86.842  24.804  75.196
11      43.000  0.832   5030.303        37.179  78.720  22.110  77.890
12      42.000  -4.347  5063.364        37.917  76.872  19.535  80.465
13      41.000  -12.472 5093.202        39.744  72.111  17.375  82.625
14      40.000  -17.197 5142.112        40.577  71.457  14.315  85.685
15      39.000  -23.939 5186.289        41.827  69.048  11.244  88.756
16      36.000  -35.729 5067.520        41.827  64.752  5.976   94.024
17      36.000  -39.215 5147.059        44.324  62.366  3.846   96.154
18      38.000  -37.454 5369.008        49.191  61.143  4.000   96.000
19      38.000  -41.055 5432.900        51.207  59.259  2.174   97.826
20      38.000  -43.432 5504.202        52.803  59.170  0.000   100.000

